customer_id,age,annual_income,spending_score,purchase_freq,avg_order_value,tenure_months,returns_rate,gender,region,clv_proxy,loyalty_index,net_spend_score,cluster,segment_name,explanation,churn_risk_score,churn_risk_band,recommended_actions
1,56,43750.66970341325,21.0,11,230.8129962821724,66,0.04,F,South,2538.9429591038966,0.55,20.16,0,Potential Loyalists,"Assigned due to: low return rate, infrequent purchase frequency, low spending level.",0.35,Medium,Welcome loyalty card with first-purchase bonus points | Personalised 'you might also like' email sequence | Limited-time membership discount
2,69,83430.59053837124,92.0,36,53.14536113544983,100,0.24,M,West,1913.233000876194,0.8333333333333334,69.92,0,Potential Loyalists,"Assigned due to: high spending level, small order size, high net spend.",0.0,Low,Welcome loyalty card with first-purchase bonus points | Personalised 'you might also like' email sequence | Limited-time membership discount
3,46,55959.35636343822,99.0,10,76.43820270884399,18,0.18,F,South,764.3820270884398,0.15,81.18,0,Potential Loyalists,"Assigned due to: high net spend, high spending level, weak loyalty.",0.25,Low,Welcome loyalty card with first-purchase bonus points | Personalised 'you might also like' email sequence | Limited-time membership discount
4,32,26468.133224542835,86.0,21,265.93252827171614,5,0.38,F,North,5584.583093706039,0.041666666666666664,53.32,0,Potential Loyalists,"Assigned due to: weak loyalty, high return rate, large order size.",0.5,Medium,Welcome loyalty card with first-purchase bonus points | Personalised 'you might also like' email sequence | Limited-time membership discount
5,60,24346.861683267576,23.0,20,153.80968159699964,19,0.05,F,South,3076.193631939993,0.15833333333333333,21.849999999999998,0,Potential Loyalists,"Assigned due to: low income, low return rate, weak loyalty.",0.6,High,Welcome loyalty card with first-purchase bonus points | Personalised 'you might also like' email sequence | Limited-time membership discount
6,25,75154.1272652864,64.0,48,136.11024437722853,42,0.08,F,South,6533.291730106969,0.35,58.88,0,Potential Loyalists,"Assigned due to: frequent purchase frequency, low return rate, high lifetime value.",0.0,Low,Welcome loyalty card with first-purchase bonus points | Personalised 'you might also like' email sequence | Limited-time membership discount
7,38,22830.7304324916,67.0,8,168.82239919262616,18,0.01,F,East,1350.5791935410093,0.15,66.33,0,Potential Loyalists,"Assigned due to: low return rate, low income, infrequent purchase frequency.",0.25,Low,Welcome loyalty card with first-purchase bonus points | Personalised 'you might also like' email sequence | Limited-time membership discount
8,56,67910.65182622708,40.0,36,53.487739942556345,32,0.17,M,East,1925.5586379320284,0.26666666666666666,33.199999999999996,0,Potential Loyalists,"Assigned due to: small order size, weak loyalty, frequent purchase frequency.",0.0,Low,Welcome loyalty card with first-purchase bonus points | Personalised 'you might also like' email sequence | Limited-time membership discount
9,36,71116.37964167398,10.0,29,123.5321497140942,21,0.11,M,West,3582.4323417087317,0.175,8.9,0,Potential Loyalists,"Assigned due to: low spending level, low net spend, weak loyalty.",0.6,High,Welcome loyalty card with first-purchase bonus points | Personalised 'you might also like' email sequence | Limited-time membership discount
10,40,35116.11590189958,89.0,42,150.21289265012413,10,0.35,M,East,6308.941491305213,0.08333333333333333,57.85,0,Potential Loyalists,"Assigned due to: weak loyalty, high spending level, high return rate.",0.5,Medium,Welcome loyalty card with first-purchase bonus points | Personalised 'you might also like' email sequence | Limited-time membership discount
11,28,82268.45209437226,52.0,12,248.5104748943546,37,0.24,F,East,2982.125698732255,0.30833333333333335,39.52,0,Potential Loyalists,"Assigned due to: large order size, infrequent purchase frequency, high income.",0.0,Low,Welcome loyalty card with first-purchase bonus points | Personalised 'you might also like' email sequence | Limited-time membership discount
12,28,17055.159405959195,72.0,14,16.36662885588791,49,0.25,M,East,229.13280398243074,0.4083333333333333,54.0,0,Potential Loyalists,"Assigned due to: low income, small order size, low lifetime value.",0.0,Low,Welcome loyalty card with first-purchase bonus points | Personalised 'you might also like' email sequence | Limited-time membership discount
13,41,67411.47334996397,75.0,48,291.0392252300617,86,0.21,F,South,13969.88281104296,0.7166666666666667,59.25,0,Potential Loyalists,"Assigned due to: high lifetime value, large order size, frequent purchase frequency.",0.0,Low,Welcome loyalty card with first-purchase bonus points | Personalised 'you might also like' email sequence | Limited-time membership discount
14,53,58978.55166009979,61.0,50,140.02818093399657,13,0.04,M,South,7001.409046699829,0.10833333333333334,58.559999999999995,0,Potential Loyalists,"Assigned due to: frequent purchase frequency, low return rate, weak loyalty.",0.25,Low,Welcome loyalty card with first-purchase bonus points | Personalised 'you might also like' email sequence | Limited-time membership discount
15,57,57025.05060672766,64.0,21,61.155500082639264,55,0.18,F,East,1284.2655017354246,0.4583333333333333,52.480000000000004,0,Potential Loyalists,"Assigned due to: small order size, low lifetime value, high net spend.",0.0,Low,Welcome loyalty card with first-purchase bonus points | Personalised 'you might also like' email sequence | Limited-time membership discount
16,41,30552.583925485684,5.0,22,46.6692227092487,17,0.4,F,North,1026.7228996034714,0.14166666666666666,3.0,0,Potential Loyalists,"Assigned due to: high return rate, low spending level, low net spend.",0.85,High,Welcome loyalty card with first-purchase bonus points | Personalised 'you might also like' email sequence | Limited-time membership discount
17,20,36574.44989000185,53.0,21,171.8519453603365,9,0.33,M,East,3608.8908525670663,0.075,35.51,0,Potential Loyalists,"Assigned due to: weak loyalty, high return rate, low income.",0.5,Medium,Welcome loyalty card with first-purchase bonus points | Personalised 'you might also like' email sequence | Limited-time membership discount
18,39,100470.05062551494,55.0,44,42.22324159451794,88,0.36,F,North,1857.8226301587893,0.7333333333333333,35.2,0,Potential Loyalists,"Assigned due to: high income, small order size, high return rate.",0.25,Low,Welcome loyalty card with first-purchase bonus points | Personalised 'you might also like' email sequence | Limited-time membership discount
19,19,90378.87522179385,37.0,50,105.1901163925521,44,0.33,M,South,5259.505819627605,0.36666666666666664,24.79,0,Potential Loyalists,"Assigned due to: frequent purchase frequency, high income, high return rate.",0.25,Low,Welcome loyalty card with first-purchase bonus points | Personalised 'you might also like' email sequence | Limited-time membership discount
20,41,78552.11471309497,56.0,30,130.00775512977614,78,0.04,M,North,3900.2326538932844,0.65,53.76,0,Potential Loyalists,"Assigned due to: low return rate, high income, high net spend.",0.0,Low,Welcome loyalty card with first-purchase bonus points | Personalised 'you might also like' email sequence | Limited-time membership discount
21,61,83496.20258824219,59.0,39,241.4940591523861,46,0.09,M,South,9418.268306943057,0.38333333333333336,53.690000000000005,0,Potential Loyalists,"Assigned due to: high lifetime value, large order size, low return rate.",0.0,Low,Welcome loyalty card with first-purchase bonus points | Personalised 'you might also like' email sequence | Limited-time membership discount
22,47,81150.33861678172,93.0,20,231.47627674111789,8,0.0,F,North,4629.525534822358,0.06666666666666667,93.0,0,Potential Loyalists,"Assigned due to: high net spend, low return rate, weak loyalty.",0.25,Low,Welcome loyalty card with first-purchase bonus points | Personalised 'you might also like' email sequence | Limited-time membership discount
23,55,51916.09469284478,69.0,24,98.56060879048329,119,0.12,F,South,2365.454610971599,0.9916666666666667,60.72,0,Potential Loyalists,"Assigned due to: strong loyalty, high net spend, low return rate.",0.0,Low,Welcome loyalty card with first-purchase bonus points | Personalised 'you might also like' email sequence | Limited-time membership discount
24,19,61190.08879535878,73.0,23,132.98534638232624,37,0.04,F,South,3058.6629667935035,0.30833333333333335,70.08,0,Potential Loyalists,"Assigned due to: low return rate, high net spend, high spending level.",0.0,Low,Welcome loyalty card with first-purchase bonus points | Personalised 'you might also like' email sequence | Limited-time membership discount
25,38,23187.29054897478,59.0,7,22.36920798594035,19,0.19,F,East,156.58445590158243,0.15833333333333333,47.790000000000006,0,Potential Loyalists,"Assigned due to: small order size, low income, infrequent purchase frequency.",0.25,Low,Welcome loyalty card with first-purchase bonus points | Personalised 'you might also like' email sequence | Limited-time membership discount
26,50,57757.60932981184,2.0,9,10.0,63,0.27,M,West,90.0,0.525,1.46,0,Potential Loyalists,"Assigned due to: small order size, low spending level, low net spend.",0.6,High,Welcome loyalty card with first-purchase bonus points | Personalised 'you might also like' email sequence | Limited-time membership discount
