customer_id,segment_name,explanation
1861,Potential Loyalists,"Assigned due to: large order size, low income, high net spend."
354,Potential Loyalists,"Assigned due to: low return rate, high income, infrequent purchase frequency."
1334,Potential Loyalists,"Assigned due to: frequent purchase frequency, high spending level, high lifetime value."
906,Potential Loyalists,"Assigned due to: high income, strong loyalty, infrequent purchase frequency."
1290,Potential Loyalists,"Assigned due to: high lifetime value, low spending level, low net spend."
1274,Potential Loyalists,"Assigned due to: high lifetime value, large order size, high return rate."
939,Potential Loyalists,"Assigned due to: low income, strong loyalty, infrequent purchase frequency."
1732,Potential Loyalists,"Assigned due to: frequent purchase frequency, weak loyalty, high lifetime value."
66,Potential Loyalists,"Assigned due to: strong loyalty, high income, high return rate."
1324,Potential Loyalists,"Assigned due to: high lifetime value, low income, frequent purchase frequency."
57,Potential Loyalists,"Assigned due to: high income, infrequent purchase frequency, high return rate."
1293,Potential Loyalists,"Assigned due to: high return rate, small order size, frequent purchase frequency."
1119,Potential Loyalists,"Assigned due to: weak loyalty, low income, low spending level."
585,Potential Loyalists,"Assigned due to: high spending level, high net spend, small order size."
375,Potential Loyalists,"Assigned due to: low spending level, low net spend, infrequent purchase frequency."
276,Potential Loyalists,"Assigned due to: high return rate, low net spend, low spending level."
747,Potential Loyalists,"Assigned due to: high income, high net spend, high spending level."
129,Potential Loyalists,"Assigned due to: infrequent purchase frequency, high return rate, high income."
1647,Potential Loyalists,"Assigned due to: weak loyalty, low return rate, low income."
1853,Potential Loyalists,"Assigned due to: low spending level, low net spend, strong loyalty."
675,Potential Loyalists,"Assigned due to: low return rate, strong loyalty, low spending level."
1665,Potential Loyalists,"Assigned due to: small order size, high income, weak loyalty."
1982,Potential Loyalists,"Assigned due to: low spending level, low net spend, small order size."
1084,Potential Loyalists,"Assigned due to: low spending level, low net spend, high lifetime value."
1923,Potential Loyalists,"Assigned due to: low income, frequent purchase frequency."
100,Potential Loyalists,"Assigned due to: low income, high spending level, high net spend."
1180,Potential Loyalists,"Assigned due to: strong loyalty, high spending level, high return rate."
965,Potential Loyalists,"Assigned due to: small order size, infrequent purchase frequency, low lifetime value."
793,Potential Loyalists,"Assigned due to: high lifetime value, low return rate, weak loyalty."
30,Potential Loyalists,"Assigned due to: low return rate, strong loyalty, high lifetime value."
629,Potential Loyalists,"Assigned due to: infrequent purchase frequency, low return rate, low lifetime value."
945,Potential Loyalists,"Assigned due to: large order size, low spending level, low net spend."
573,Potential Loyalists,"Assigned due to: low return rate, weak loyalty."
908,Potential Loyalists,"Assigned due to: strong loyalty, small order size, low spending level."
1081,Potential Loyalists,"Assigned due to: high spending level, high return rate, high net spend."
451,Potential Loyalists,"Assigned due to: strong loyalty, high return rate, large order size."
1610,Potential Loyalists,"Assigned due to: low income, low return rate, weak loyalty."
1291,Potential Loyalists,"Assigned due to: weak loyalty, low net spend, low spending level."
1079,Potential Loyalists,"Assigned due to: large order size, infrequent purchase frequency, high spending level."
255,Potential Loyalists,"Assigned due to: low income, weak loyalty, infrequent purchase frequency."
125,Potential Loyalists,"Assigned due to: infrequent purchase frequency, high return rate, low net spend."
1928,Potential Loyalists,"Assigned due to: high lifetime value, large order size, frequent purchase frequency."
252,Potential Loyalists,"Assigned due to: high lifetime value, large order size, low spending level."
586,Potential Loyalists,"Assigned due to: large order size, low income, low spending level."
1569,Potential Loyalists,"Assigned due to: low spending level, low net spend, high lifetime value."
825,Potential Loyalists,"Assigned due to: high income, high return rate, low net spend."
508,Potential Loyalists,"Assigned due to: large order size, low spending level, low net spend."
890,Potential Loyalists,"Assigned due to: high lifetime value, large order size, low spending level."
71,Potential Loyalists,"Assigned due to: infrequent purchase frequency, low lifetime value, low return rate."
1609,Potential Loyalists,"Assigned due to: small order size, low lifetime value, infrequent purchase frequency."
1533,Potential Loyalists,"Assigned due to: high income, weak loyalty, frequent purchase frequency."
248,Potential Loyalists,"Assigned due to: strong loyalty, high return rate, high spending level."
1451,Potential Loyalists,"Assigned due to: low income, low spending level, low net spend."
213,Potential Loyalists,"Assigned due to: low return rate, weak loyalty, high lifetime value."
910,Potential Loyalists,"Assigned due to: high income, low return rate, strong loyalty."
1742,Potential Loyalists,"Assigned due to: small order size, low return rate, low lifetime value."
1245,Potential Loyalists,"Assigned due to: high return rate, infrequent purchase frequency, high spending level."
1697,Potential Loyalists,"Assigned due to: high net spend, low return rate, strong loyalty."
1183,Potential Loyalists,"Assigned due to: strong loyalty, low spending level, low net spend."
362,Potential Loyalists,"Assigned due to: high net spend, high spending level, low return rate."
1474,Potential Loyalists,"Assigned due to: infrequent purchase frequency, high income, strong loyalty."
679,Potential Loyalists,"Assigned due to: weak loyalty, high spending level, high return rate."
1622,Potential Loyalists,"Assigned due to: strong loyalty, low spending level, low net spend."
1090,Potential Loyalists,"Assigned due to: high net spend, high lifetime value, high spending level."
1988,Potential Loyalists,"Assigned due to: infrequent purchase frequency, high net spend, low return rate."
1848,Potential Loyalists,"Assigned due to: low spending level, low net spend, large order size."
988,Potential Loyalists,"Assigned due to: infrequent purchase frequency, small order size, strong loyalty."
1513,Potential Loyalists,"Assigned due to: infrequent purchase frequency, low lifetime value, high return rate."
112,Potential Loyalists,"Assigned due to: low return rate, infrequent purchase frequency, low income."
1488,Potential Loyalists,"Assigned due to: frequent purchase frequency, high spending level, high net spend."
1454,Potential Loyalists,"Assigned due to: infrequent purchase frequency, low lifetime value, weak loyalty."
384,Potential Loyalists,"Assigned due to: high return rate, high income, frequent purchase frequency."
1396,Potential Loyalists,"Assigned due to: high net spend, high income, low return rate."
1055,Potential Loyalists,"Assigned due to: low return rate, strong loyalty, low spending level."
756,Potential Loyalists,"Assigned due to: weak loyalty, low return rate, large order size."
325,Potential Loyalists,"Assigned due to: small order size, low lifetime value, high return rate."
1624,Potential Loyalists,"Assigned due to: weak loyalty, high return rate, high income."
788,Potential Loyalists,"Assigned due to: high lifetime value, high net spend, weak loyalty."
369,Potential Loyalists,"Assigned due to: low spending level, frequent purchase frequency, low net spend."
1820,Potential Loyalists,"Assigned due to: low spending level, low return rate, low net spend."
70,Potential Loyalists,"Assigned due to: large order size, high lifetime value, low spending level."
858,Potential Loyalists,"Assigned due to: small order size, frequent purchase frequency, low spending level."
1484,Potential Loyalists,"Assigned due to: small order size, high net spend, low return rate."
1556,Potential Loyalists,"Assigned due to: small order size, low lifetime value, low net spend."
1692,Potential Loyalists,"Assigned due to: low income, high return rate, small order size."
1475,Potential Loyalists,"Assigned due to: low income, low return rate, weak loyalty."
1799,Potential Loyalists,"Assigned due to: high lifetime value, high return rate, frequent purchase frequency."
479,Potential Loyalists,"Assigned due to: high return rate, high spending level, small order size."
282,Potential Loyalists,"Assigned due to: low income, high return rate, frequent purchase frequency."
1648,Potential Loyalists,"Assigned due to: high lifetime value, low income, frequent purchase frequency."
1557,Potential Loyalists,"Assigned due to: high lifetime value, frequent purchase frequency, low return rate."
1730,Potential Loyalists,"Assigned due to: high return rate, large order size, high spending level."
211,Potential Loyalists,"Assigned due to: high income, high return rate, strong loyalty."
298,Potential Loyalists,"Assigned due to: frequent purchase frequency, high income, high lifetime value."
1885,Potential Loyalists,"Assigned due to: high net spend, high spending level, small order size."
1834,Potential Loyalists,"Assigned due to: low spending level, low net spend, weak loyalty."
652,Potential Loyalists,"Assigned due to: low spending level, low return rate, low net spend."
1234,Potential Loyalists,"Assigned due to: strong loyalty, high income, high return rate."
1503,Potential Loyalists,"Assigned due to: weak loyalty, high income, high net spend."
1932,Potential Loyalists,"Assigned due to: high lifetime value, frequent purchase frequency, low income."
917,Potential Loyalists,"Assigned due to: weak loyalty, high return rate, low income."
994,Potential Loyalists,"Assigned due to: high net spend, high spending level, high lifetime value."
430,Potential Loyalists,"Assigned due to: high income, weak loyalty, small order size."
1371,Potential Loyalists,"Assigned due to: high spending level, high lifetime value, high return rate."
240,Potential Loyalists,"Assigned due to: strong loyalty, infrequent purchase frequency, low return rate."
880,Potential Loyalists,"Assigned due to: low spending level, low net spend, low income."
621,Potential Loyalists,"Assigned due to: small order size, frequent purchase frequency, high return rate."
257,Potential Loyalists,"Assigned due to: high lifetime value, large order size, low spending level."
612,Potential Loyalists,"Assigned due to: frequent purchase frequency, high lifetime value."
545,Potential Loyalists,"Assigned due to: high income, frequent purchase frequency, small order size."
772,Potential Loyalists,"Assigned due to: high income, large order size, weak loyalty."
1420,Potential Loyalists,"Assigned due to: high net spend, high spending level, weak loyalty."
1042,Potential Loyalists,"Assigned due to: high net spend, weak loyalty, low return rate."
1790,Potential Loyalists,"Assigned due to: low income, low spending level, low net spend."
760,Potential Loyalists,"Assigned due to: low return rate, frequent purchase frequency, small order size."
383,Potential Loyalists,"Assigned due to: frequent purchase frequency, high net spend, high spending level."
1104,Potential Loyalists,"Assigned due to: frequent purchase frequency, high return rate, high spending level."
974,Potential Loyalists,"Assigned due to: high income, large order size, infrequent purchase frequency."
353,Potential Loyalists,"Assigned due to: high spending level, high net spend, high return rate."
1606,Potential Loyalists,"Assigned due to: weak loyalty, low return rate."
1826,Potential Loyalists,"Assigned due to: low income, low spending level, low net spend."
1037,Potential Loyalists,"Assigned due to: high lifetime value, frequent purchase frequency, low return rate."
1108,Potential Loyalists,"Assigned due to: high lifetime value, large order size, high return rate."
495,Potential Loyalists,"Assigned due to: high net spend, high spending level, low income."
394,Potential Loyalists,"Assigned due to: high lifetime value, large order size, high spending level."
1547,Potential Loyalists,"Assigned due to: frequent purchase frequency, high return rate, high income."
465,Potential Loyalists,"Assigned due to: large order size, high net spend, high spending level."
887,Potential Loyalists,"Assigned due to: large order size, high lifetime value, high income."
1194,Potential Loyalists,"Assigned due to: low return rate, high net spend, high spending level."
367,Potential Loyalists,"Assigned due to: weak loyalty, infrequent purchase frequency, low lifetime value."
1894,Potential Loyalists,"Assigned due to: high income, high net spend, low return rate."
1874,Potential Loyalists,"Assigned due to: low spending level, low net spend, high income."
745,Potential Loyalists,"Assigned due to: infrequent purchase frequency, large order size, low lifetime value."
530,Potential Loyalists,"Assigned due to: frequent purchase frequency, weak loyalty, high income."
803,Potential Loyalists,"Assigned due to: high return rate, high income, low net spend."
1224,Potential Loyalists,"Assigned due to: weak loyalty, infrequent purchase frequency, low return rate."
1979,Potential Loyalists,"Assigned due to: high spending level, high net spend, low income."
1906,Potential Loyalists,"Assigned due to: high lifetime value, frequent purchase frequency, large order size."
1700,Potential Loyalists,"Assigned due to: low spending level, low net spend, high lifetime value."
